order,track,source_id,title,publisher_or_authors,kind,local_path,canonical_url,tutorial,retrieved
1,foundations,cpu-gpu-trends,"Summarizing CPU and GPU Design Trends with Product Data","Sun et al.",paper,sources/gpu/foundations/cpu-gpu-design-trends.pdf,https://arxiv.org/abs/1911.11313,tutorials/01-architecture-map.md,2026-08-29
2,memory,gpu-memory,"Dissecting GPU Memory Hierarchy through Microbenchmarking","Mei and Chu",paper,sources/gpu/foundations/gpu-memory-microbenchmarking.pdf,https://arxiv.org/abs/1509.02308,tutorials/02-memory-hierarchy.md,2026-08-29
3,x86-64,amd64-apm,"AMD64 Architecture Programmer's Manual Volume 1","AMD",live-spec,,https://docs.amd.com/v/u/en-US/24592_3.24,tutorials/x86-64/03-x86-64.md,2026-08-29
4,x86-64,intel-sdm,"Intel 64 and IA-32 Software Developer Manual Volume 1","Intel",live-spec,,https://www.intel.com/content/www/us/en/content-details/851056/intel-64-and-ia-32-architectures-software-developer-s-manual-volume-1-basic-architecture.html,tutorials/x86-64/03-x86-64.md,2026-08-29
5,x86-64,intel-analysis,"Architectural Features in Four Generations of Intel Server Processors","Hofmann et al.",paper,sources/x86-64/intel-server-microarchitecture-analysis.pdf,https://arxiv.org/abs/1702.07554,tutorials/x86-64/03-x86-64.md,2026-08-29
6,arm,armv8-overview,"ARMv8-A CPU Architecture","Arm",vendor-guide,sources/arm/armv8-a-cpu-architecture.pdf,https://developer.arm.com/-/media/Files/pdf/graphics-and-multimedia/ARM_CPU_Architecture.pdf,tutorials/arm/04-arm-a-profile.md,2026-08-29
7,arm,neon-guide,"Neon Programmer Guide for Armv8-A","Arm",vendor-guide,sources/arm/neon-programmer-guide-armv8-a.pdf,https://documentation-service.arm.com/static/6530e5163f12c06bc0f740ef,tutorials/arm/04-arm-a-profile.md,2026-08-29
8,arm,weak-memory,"Bridging Programming Languages and Hardware Weak Memory Models","Podkopaev et al.",paper,sources/arm/weak-memory-models.pdf,https://arxiv.org/abs/1807.07892,tutorials/arm/04-arm-a-profile.md,2026-08-29
9,nvidia,cuda-guide,"CUDA C++ Programming Guide","NVIDIA",vendor-guide,sources/gpu/nvidia/cuda-programming-guide.pdf,https://docs.nvidia.com/cuda/cuda-programming-guide/,tutorials/gpu/nvidia/06-cuda-architecture.md,2026-08-29
10,nvidia,volta-study,"Dissecting the NVIDIA Volta GPU Architecture via Microbenchmarking","Jia et al.",paper,sources/gpu/nvidia/volta-microbenchmarking.pdf,https://arxiv.org/abs/1804.06826,tutorials/gpu/nvidia/07-nvidia-microbenchmarking.md,2026-08-29
11,amd-gpu,cdna,"AMD CDNA Architecture","AMD",live-spec,,https://www.amd.com/content/dam/amd/en/documents/instinct-business-docs/white-papers/amd-cdna-white-paper.pdf,tutorials/gpu/amd/08-amd-cdna-hip.md,2026-08-29
12,amd-gpu,hip,"HIP Programming Guide","AMD ROCm",vendor-guide,sources/gpu/amd/hip-programming-guide.pdf,https://rocm.docs.amd.com/projects/HIP/en/develop/understand/programming_model.html,tutorials/gpu/amd/08-amd-cdna-hip.md,2026-08-29
13,intel-gpu,xe-hpg,"Introduction to the Xe-HPG Architecture","Intel",whitepaper,sources/gpu/intel/xe-hpg-architecture-whitepaper.pdf,https://www.intel.com/content/www/us/en/developer/articles/technical/introduction-to-the-xe-hpg-architecture.html,tutorials/gpu/intel/09-intel-xe-oneapi.md,2026-08-29
14,intel-gpu,oneapi,"oneAPI GPU Optimization Guide","Intel",vendor-guide,sources/gpu/intel/oneapi-gpu-optimization-guide.pdf,https://www.intel.com/content/www/us/en/docs/oneapi/optimization-guide-gpu/current/overview.html,tutorials/gpu/intel/09-intel-xe-oneapi.md,2026-08-29
15,gpu-foundations,cpu-gpu-synthesis,"CPU and GPU Design Trends - GPU Foundations Reading","Sun et al.",paper,sources/gpu/foundations/cpu-gpu-design-trends.pdf,https://arxiv.org/abs/1911.11313,tutorials/gpu/05-gpu-foundations.md,2026-08-29
16,decision,placement-synthesis,"CPU and GPU Design Trends - Placement Reading","Sun et al.",paper,sources/gpu/foundations/cpu-gpu-design-trends.pdf,https://arxiv.org/abs/1911.11313,tutorials/10-cpu-gpu-decision.md,2026-08-29
