snapshot_date,provider,model_or_family,access,license,modalities,positioning,context_tokens,max_output_tokens,input_usd_per_million,cached_input_usd_per_million,output_usd_per_million,pricing_qualification,primary_source,lifecycle_status,last_verified_date
2026-08-29,OpenAI,gpt-5.6-sol,hosted proprietary,proprietary,text output; text/image input,highest GPT-5.6 capability,1050000,128000,4,0.40,20,"Promotional through at least 2026-11-21; long-context multiplier above 272K input",https://developers.openai.com/api/docs/models/gpt-5.6-sol,current,2026-08-29
2026-08-29,OpenAI,GPT-5.6 Terra,hosted proprietary,proprietary,text output; text/image input,balance capability and cost,,,,,,"Use live model/pricing page",https://developers.openai.com/api/docs/models/all,current,2026-08-29
2026-08-29,OpenAI,GPT-5.6 Luna,hosted proprietary,proprietary,text output; text/image input,cost-sensitive flagship tier,,,,,,"Use live model/pricing page",https://developers.openai.com/api/docs/models/all,current,2026-08-29
2026-08-29,Anthropic,claude-fable-5,hosted proprietary,proprietary,text output; text/image input,long-running highest-capability agents,1000000,128000,10,1,50,"Cache-hit value; cache writes and long context may differ",https://platform.claude.com/docs/en/models/overview,current,2026-08-29
2026-08-29,Anthropic,claude-opus-5,hosted proprietary,proprietary,text output; text/image input,complex agentic coding and enterprise work,1000000,128000,5,,25,"Check live cache and long-context prices",https://platform.claude.com/docs/en/models/overview,current,2026-08-29
2026-08-29,Anthropic,claude-sonnet-5,hosted proprietary,proprietary,text output; text/image input,speed/intelligence balance,1000000,128000,2,0.20,10,"Promotion through 2026-08-31; standard 3/0.30/15",https://platform.claude.com/docs/en/about-claude/pricing,current,2026-08-29
2026-08-29,Anthropic,claude-haiku-4-5-20251001,hosted proprietary,proprietary,text output; text/image input,fast near-frontier tier,200000,64000,1,0.10,5,"Check live pricing",https://platform.claude.com/docs/en/models/overview,current,2026-08-29
2026-08-29,Google,Gemini 3.7 Flash,hosted proprietary,proprietary,multimodal,latest Flash upgrade target,,,,,,"Confirm regional availability status and live price",https://ai.google.dev/gemini-api/docs/models,current,2026-08-29
2026-08-29,Google,Gemini 3.5 Flash,hosted proprietary,proprietary,text; image; video; audio,balanced agentic multimodal model,,,1.50,0.15,9,"Output includes thinking; cache storage and grounding separate",https://ai.google.dev/gemini-api/docs/pricing,current,2026-08-29
2026-08-29,Google,Gemini 3.5 Flash-Lite,hosted proprietary,proprietary,text; image; video; audio,high-volume agentic and processing,,,0.30,0.03,2.50,"Standard tier; batch/flex lower",https://ai.google.dev/gemini-api/docs/pricing,current,2026-08-29
2026-08-29,Google,Gemini 3.1 Pro Preview,hosted proprietary,proprietary,multimodal,Pro reasoning and agents,,,,,,"Preview; use live pricing",https://ai.google.dev/gemini-api/docs/models,preview,2026-08-29
2026-08-29,SpaceXAI / xAI,grok-4.6,hosted proprietary,proprietary,text output; text/image input,frontier coding agentic and knowledge work,500000,unlimited stated,2,0.50,6,"Long-context rates 4/1/12 at prompt >=200K",https://docs.x.ai/developers/models/grok-4.6,current,2026-08-29
2026-08-29,Amazon,Nova 2 Lite,hosted proprietary,proprietary,text output; text/image/video/document input,cost-efficient AWS-native multimodal reasoning,1000000,65536,,,,"See live Amazon Bedrock regional pricing",https://docs.aws.amazon.com/nova/latest/nova2-userguide/what-is-nova-2.html,current,2026-08-29
2026-08-29,Mistral AI,mistral-medium-3-5,hosted and downloadable open-weight,Modified MIT,multimodal,frontier-class agentic and coding,,,1.50,,7.50,"128B dense; self-host TCO separate",https://docs.mistral.ai/inference/model-selection-guide,current,2026-08-29
2026-08-29,OpenAI,gpt-oss-120b,downloadable open-weight,Apache-2.0,text,reasoning and tools,131072,,n/a,n/a,n/a,"Self-host or provider-specific TCO; 117B total 5.1B active",https://huggingface.co/openai/gpt-oss-120b,current,2026-08-29
2026-08-29,OpenAI,gpt-oss-20b,downloadable open-weight,Apache-2.0,text,reasoning and tools,131072,,n/a,n/a,n/a,"Self-host or provider-specific TCO; 21B total 3.6B active",https://huggingface.co/openai/gpt-oss-120b,current,2026-08-29
2026-08-29,Qwen,Qwen3.5-397B-A17B,downloadable open-weight,Apache-2.0,image-text,multimodal agentic and coding,262144,,n/a,n/a,n/a,"Extensible to 1.01M with serving and quality implications",https://huggingface.co/Qwen/Qwen3.5-397B-A17B,current,2026-08-29
2026-08-29,DeepSeek,DeepSeek-V3.2,downloadable open-weight,MIT,text,large reasoning/coding model,,,n/a,n/a,n/a,"685B parameters; managed price provider-specific",https://huggingface.co/deepseek-ai/DeepSeek-V3.2,current,2026-08-29
2026-08-29,Google,Gemma 4 family,downloadable open-weight,Apache-2.0,multimodal varies by size,compact-to-large multilingual family,,,n/a,n/a,n/a,"Confirm exact variant capability/context",https://huggingface.co/google/gemma-4-26B-A4B,current,2026-08-29
2026-08-29,Meta,Llama 4 Maverick 17B 128E Instruct,downloadable open-weight,custom Llama 4 license,image-text,multimodal MoE,,,n/a,n/a,n/a,"Not automatically OSI open source; review custom license",https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,current,2026-08-29
